"NAME","points","wins","draws","losses"
"Mauritius","817.6","68","52","130"
"Mayotte","1100.09","3","5","10"
"Menorca","1193.68","10","6","5"
"Mexico","1608.07","444","201","231"
"Micronesia","1105.06","1","0","6"
"Moldova","809.2","45","59","141"
"Monaco","1149.86","5","3","4"
"Mongolia","872","19","8","48"
"Montenegro","1161.36","41","31","46"
"Montserrat","954.47","9","6","27"
"Morocco","1428.7","249","160","130"
"Mozambique","1097.7","99","76","132"
"Myanmar","1099.35","5","2","9"
"Namibia","1137.13","63","62","107"
"Nepal","837.52","39","31","112"
"Netherlands","1613.87","404","180","212"
"New Caledonia","1290.05","120","27","80"
"New Zealand","1345.89","146","65","151"
"Nicaragua","936.28","28","15","116"
"Niger","1047.55","49","53","107"
"Nigeria","1418.49","269","167","144"
"Niue","1131.55","0","0","2"
"North Korea","1257.98","144","91","105"
"North Macedonia","1151.88","73","63","110"
"North Vietnam","1123.71","7","3","14"
"Northern Cyprus","1258.61","20","7","7"
"Northern Ireland","1211.99","166","150","338"
"Northern Mariana Islands","947.81","2","2","20"
"Norway","1319.73","298","185","331"
"Occitania","1167.94","8","3","7"
"Oman","1315.64","167","114","171"
"Orkney","1065.05","5","0","16"
"Padania","1291.69","29","8","6"
"Pakistan","750.43","38","34","118"
"Palau","1138.31","0","0","2"
"Palestine","1082.81","51","52","85"
"Panama","1285.02","136","107","192"
"Panjab","1166.47","5","3","4"
"Papua New Guinea","1074.8","35","21","60"
"Paraguay","1356.12","256","191","273"
"Parishes of Jersey","1154.33","2","0","1"
"Peru","1384.02","201","153","273"
"Philippines","1037.5","65","39","128"
"Poland","1456.94","356","209","262"
"Portugal","1665.31","303","147","174"
"Provence","1089.85","4","1","12"
"Puerto Rico","915.05","23","21","77"
"Qatar","1335.54","224","128","188"
"Raetia","1101.71","1","1","6"
"Republic of Ireland","1289.57","220","165","191"
"Republic of St. Pauli","1135.66","1","1","2"
"Réunion","1171.14","27","13","41"
"Rhodes","1200.31","11","2","5"
"Romani people","1142.87","1","0","2"
"Romania","1297.98","309","181","214"
"Russia","1433.2","360","185","160"
"Rwanda","1099","83","63","100"
"Saare County","1011.56","5","5","25"
"Saarland","1123.03","1","2","6"
"Saint Helena","1117.14","0","0","4"
"Saint Kitts and Nevis","1093.21","73","34","74"
"Saint Lucia","941.88","66","30","103"
"Saint Martin","969.84","14","3","27"
"Saint Pierre and Miquelon","1079.25","0","0","7"
"Saint Vincent and the Grenadines","1153.33","65","39","44"
"Samoa","1010.07","16","4","31"
"San Marino","461.05","1","6","165"
"São Tomé and Príncipe","938.42","8","5","35"
"Sápmi","1129.18","11","2","13"
"Sark","1108.95","0","0","4"
"Saudi Arabia","1374.09","301","142","185"
"Scotland","1313.62","375","169","246"
"Senegal","1441.27","233","144","155"
"Serbia","1413.34","127","75","84"
"Seychelles","729.26","13","18","82"
"Shetland","1095.9","18","7","26"
"Sierra Leone","1072.42","78","63","115"
"Silesia","1152.2","3","2","3"
"Singapore","1029.06","168","108","280"
"Sint Maarten","1036.29","10","5","19"
"Slovakia","1302.79","121","71","108"
"Slovenia","1211.49","91","63","104"
"Solomon Islands","1179.06","72","30","68"
"Somalia","734.82","10","12","85"
"Somaliland","1144.84","2","0","3"
"South Africa","1243.35","175","116","113"
"South Korea","1475.26","455","222","188"
"South Ossetia","1131.86","4","3","7"
"South Sudan","941.23","8","9","30"
"Spain","1726.03","411","163","131"
"Sri Lanka","727.87","40","35","126"
"Sudan","1092.57","135","101","166"
"Suriname","1134.94","155","81","114"
"Surrey","1154.8","1","0","0"
"Sweden","1499.59","506","225","299"
"Switzerland","1535.66","284","176","348"
"Syria","1325.01","151","101","156"
"Székely Land","1095.44","6","3","14"
"Tahiti","1172.97","109","28","73"
"Tajikistan","1074.48","59","26","64"
"Tamil Eelam","1102.6","6","0","11"
"Tanzania","1054.19","147","154","234"
"Thailand","1210.38","237","148","254"
"Tibet","1056.37","0","1","12"
"Timor Leste","1045.62","1","1","7"
"Togo","1090.18","119","102","168"
"Tonga","961.71","14","6","36"
"Trinidad and Tobago","1144.73","291","139","239"
"Tunisia","1392.36","246","169","170"
"Turkey","1437.81","223","143","212"
"Turkmenistan","1119.69","52","23","63"
"Turks and Caicos Islands","950.14","6","2","21"
"Tuvalu","994.03","5","4","25"
"Two Sicilies","1130.8","1","0","3"
"U.S. Virgin Islands","812.77","7","6","43"
"Uganda","1258.64","266","169","191"
"Ukraine","1448.92","125","78","75"
"United Arab Emirates","1272.31","211","130","185"
"United Koreans in Japan","1139.92","2","6","3"
"United States","1503.46","299","145","247"
"Uruguay","1580.91","385","216","288"
"Uzbekistan","1343.21","122","58","101"
"Vanuatu","1140.56","56","22","96"
"Vatican City","1128.66","0","2","4"
"Venezuela","1310.83","93","86","206"
"Vietnam","1202.35","82","47","73"
"Vietnam Republic","1121.49","66","27","60"
"Wales","1419.96","215","143","309"
"Wallis Islands and Futuna","1035.22","5","0","19"
"Western Armenia","1135.21","5","4","7"
"Western Australia","1075.27","9","3","17"
"Western Isles","1113.31","11","3","14"
"Western Sahara","1139.85","2","0","3"
"Yemen","940.09","45","43","138"
"Yemen DPR","1087.65","5","3","16"
"Ynys Môn","1234.89","32","11","18"
"Yorkshire","1174.33","5","1","1"
"Yugoslavia","1437.36","223","98","160"
"Zambia","1280.42","331","191","201"
"Zanzibar","1060.78","41","41","123"
"Zimbabwe","1194.45","190","126","143"
