"NAME","points","wins","draws","losses"
"surinam","1108.5","32","10","42"
"swaziland","1086.91","20","13","45"
"sweden","1294.95","387","247","403"
"switzerland","1321.72","460","271","536"
"syria","1194.45","90","58","87"
"tahiti","1130.76","33","15","47"
"tajikistan","1169.13","47","23","41"
"tanzania","1197.84","50","26","56"
"thailand","1168.01","76","47","89"
"togo","1133.19","19","14","27"
"tonga","1084.45","6","4","20"
"trinidad and tobago","1185.61","116","36","84"
"tunisia","1428.93","277","145","139"
"turkey","1238.17","411","262","483"
"turkmenistan","1200.74","44","29","41"
"uganda","1195.6","33","21","38"
"ukraine","1329.1","432","231","352"
"united arab emirates","1134.97","116","98","152"
"united states","1299.65","145","71","117"
"uruguay","1220.11","477","288","450"
"us virgin islands","1085.99","2","2","9"
"uzbekistan","1161.55","114","71","119"
"vanuatu","1144.05","36","16","38"
"venezuela","1064.13","193","183","502"
"vietnam","1133.43","73","31","99"
"wales","855.17","74","68","226"
"yemen","991.47","11","17","59"
"zambia","1299.47","85","55","64"
"zanzibar","958.6","6","4","44"
"zimbabwe","1163.56","60","30","63"
